drug_name,chembl_id,smiles,MolecularWeight,LogP,HBD,HBA,RotatableBonds,TPSA,activity_value,pIC50
NaN,CHEMBL3920551,COc1cc2c(Nc3ccc(NC(=O)Nc4ccc(C)c(C)c4)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,591.1120000000001,6.397340000000006,3,8,10,109.87,51.0,7.292429823902063
NaN,CHEMBL6026375,CN(C)C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(c5ccccn5)CC4)cc3)n2)C1,543.6760000000002,3.3381000000000007,3,8,7,132.61,5500.0,5.259637310505756
NaN,CHEMBL6055007,CCC(=O)N1CCC(c2ccc(Nc3nc(N4CCC[C@@H](NC(=O)N5CCCCC5)C4)cnc3C(N)=O)cc2)CC1,562.7190000000004,3.599400000000002,3,7,7,136.79,550.0,6.259637310505756
NaN,CHEMBL379041,Fc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,322.3430000000001,3.9456000000000016,2,5,3,59.07000000000001,8900.0,5.050609993355087
NaN,CHEMBL5821638,C[C@@H]1[C@H](NC(=O)N(C)C)CCCN1c1cnc(C(N)=O)c(Nc2ccc(C3(C)CCN(C4CC4)CC3)cc2)n1,534.7090000000004,3.4635000000000016,3,7,7,119.72,550.0,6.259637310505756
CIGLITAZONE,CHEMBL7002,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,333.4530000000002,3.9299000000000026,1,4,5,55.4,4655.0,5.3320803146826385
NaN,CHEMBL3985465,C=CC(=O)N1CC[C@H](Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C[C@H]1C(=O)NCCO,561.9730000000002,3.346500000000002,3,8,9,125.91000000000001,1.8,8.744727494896694
NaN,CHEMBL6171149,C=CC(=O)N1Cc2nc(-c3cc(-c4ccccc4F)c(F)cn3)n(-c3ccncn3)c2C1,430.4180000000001,3.697700000000002,0,5,4,76.80000000000001,19.95,7.700057099977233
NaN,CHEMBL6164231,C=CC(=O)N1Cc2nc(-c3cc(-c4cccc5ccnn45)c(F)cn3)n(-c3ccncn3)c2C1,452.45300000000015,3.2063000000000006,0,6,4,94.1,39.81,7.400007822415902
NaN,CHEMBL6145691,C=CC(=O)N1Cc2nc(-c3cc(-c4c(Cl)ccc(C(F)F)c4F)c(F)cn3)n(-c3ccncn3)c2C1,514.87,5.288700000000003,0,5,5,76.80000000000001,25.12,7.599980364934842
NaN,CHEMBL6173653,C=CC(=O)N1Cc2nc(-c3cc(-c4cc(Cl)cnc4Cl)c(F)cc3F)n(-c3ccncn3)c2C1,499.30800000000016,5.004500000000003,0,5,4,76.80000000000001,15.85,7.79997073344623
NaN,CHEMBL6161666,CC(C)Oc1cc(Nc2ccnc(-c3cnn(S(=O)(=O)C4CC4)c3)n2)ncc1-c1cnn([C@H]2C[C@H](C)N(C)C2)c1,563.6880000000002,3.7348000000000026,1,10,9,132.95,11.0,7.958607314841775
NaN,CHEMBL4850856,O=C(CSc1nc2ccccc2c(=O)n1Cc1ccc2c(c1)OCO2)Nc1ccccc1F,463.4900000000002,4.043400000000003,1,6,6,82.45,207.1,6.683819901106547
NaN,CHEMBL5094480,COc1cc(N2CCC(N(C)C)CC2)c(-c2cn[nH]c2)cc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,595.088,5.794300000000004,3,9,9,111.3,0.9,9.045757490560675
NaN,CHEMBL6172228,C=CC(=O)C1CCC[C@@H](n2nc(-c3ccc4ccccc4c3)c3c(N)ncnc32)C1,397.4820000000002,4.715100000000003,1,5,4,86.69,16.0,7.795880017344075
NaN,CHEMBL6146710,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4c(F)ccc(O)c4CN4Cc5ccccc5C4=O)c3)ccn2)c1,755.8319999999999,7.9903000000000075,5,9,12,161.57,1.6,8.795880017344075
NaN,CHEMBL3958631,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Br)c(Cl)c4)ncnc3cc2OC)CC1,517.8110000000001,5.353700000000004,1,6,6,76.58,21.0,7.6777807052660805
